Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.05,10.32,107.78,2.04,5.36,79.43,0,-0.1,-74.56,79,0,0.1,175,1525,100.17,
2,11,0.82,1.68,168.47,3.22,5.33,89.56,0,-0.1,-74.56,94,0,0.1,175,1509,100.03,
3,1,0,9.76,168.51,3.22,5.33,95.76,0,-0.1,-74.56,93,0,0.1,175,1509,99.93,
4,9,0,9.75,168.49,3.22,5.33,91.95,0,-0.1,-74.56,93,0,0.1,175,1509,99.98,
5,18,0,9.74,168.41,3.22,5.33,78.41,0,-0.1,-74.56,93,0,0.1,176,1509,100.18,
