Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,7,2.14,11.27,112.84,2.15,5.36,79.74,0,-0.1,-74.56,80,0,0.1,175,1523,100.17,
2,17,2.16,11.44,112.87,2.16,5.31,91.35,0,-0.1,-74.56,105,0,0.1,176,1506,100,
3,29,2.18,11.61,112.96,2.18,5.27,115.87,0,-0.1,-74.56,158,0,0.1,177,1485,99.64,
4,41,2.19,11.76,113.1,2.21,5.22,149.67,0,-0.1,-74.56,232,0,0.1,180,1465,99.14,
5,53,2.21,11.92,113.28,2.23,5.17,198.56,0,-0.1,-74.56,341,0,0.1,183,1445,98.43,
6,65,2.22,12.03,113.52,2.26,5.13,255.15,0,-0.1,-74.56,467,0,0.1,187,1425,97.61,
7,77,2.23,12.19,113.81,2.28,5.08,328.95,0,-0.1,-74.56,632,0,0.1,193,1406,96.54,
8,89,2.24,12.34,114.07,2.3,5.04,408.58,0,-0.1,-74.56,809,0,0.1,200,1390,95.4,
9,101,2.25,12.63,114.45,2.33,4.99,507.31,0.01,-0.1,-74.56,1030,0,0.1,209,1371,94,
10,113,2.26,12.71,114.87,2.37,4.95,609.94,0.02,-0.1,-74.56,1259,0,0.1,218,1353,92.56,
11,126,2.27,13.01,115.34,2.4,4.9,733.43,0.04,-0.1,-74.55,1532,0,0.1,230,1334,90.85,
12,138,2.28,13.19,115.86,2.43,4.85,858.72,0.05,-0.1,-74.55,1811,0,0.1,241,1316,89.15,
13,152,2.31,13.32,116.41,2.47,4.81,1006.97,0.08,-0.1,-74.55,2147,0,0.1,252,1298,87.16,
14,164,2.32,13.53,117.02,2.51,4.76,1155.63,0.11,-0.1,-74.55,2487,0,0.1,264,1279,85.21,
15,178,2.34,13.75,117.67,2.54,4.71,1329.64,0.15,-0.1,-74.54,2889,0,0.1,276,1261,82.97,
16,191,2.36,13.97,118.23,2.58,4.67,1502.28,0.19,-0.1,-74.54,3287,0,0.11,288,1245,80.79,
17,206,2.38,14.21,118.94,2.62,4.62,1702.43,0.24,-0.1,-74.53,3754,0,0.11,302,1227,78.32,
18,219,2.4,14.43,119.7,2.66,4.58,1899.59,0.29,-0.1,-74.53,4223,0,0.11,315,1208,75.95,
19,234,2.41,14.48,120.5,2.71,4.53,2126.86,0.36,-0.1,-74.52,4767,0,0.11,328,1189,73.3,
20,228,0.28,12.32,181.07,4.08,4.52,2341.78,0.42,-0.1,-74.52,4828,0,0.11,324,1189,70.85,
21,215,0.26,12.02,182.2,4.11,4.52,2562.44,0.48,-0.1,-74.51,4772,0,0.11,315,1196,68.4,
22,204,0.24,11.81,183.03,4.13,4.52,2754.69,0.54,-0.1,-74.51,4728,0,0.11,307,1201,66.33,
23,192,0.22,11.59,184.01,4.15,4.52,2950.81,0.6,-0.1,-74.5,4688,0,0.11,298,1208,64.26,
