Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,7,2.14,11.27,112.84,2.15,5.36,79.67,0,-0.1,-74.56,80,0,0.1,175,1523,100.17
2,18,2.16,11.44,112.87,2.16,5.31,91.51,0,-0.1,-74.56,105,0,0.1,176,1505,100
3,30,2.18,11.61,112.97,2.19,5.26,116.26,0,-0.1,-74.56,159,0,0.1,177,1483,99.64
4,41,2.19,11.76,113.09,2.2,5.22,150.29,0,-0.1,-74.56,234,0,0.1,180,1466,99.14
5,53,2.21,11.92,113.28,2.23,5.17,199.42,0,-0.1,-74.56,343,0,0.1,183,1445,98.42
6,65,2.22,12.02,113.53,2.26,5.13,256.24,0,-0.1,-74.56,470,0,0.1,186,1424,97.59
7,77,2.23,12.18,113.77,2.28,5.08,330.31,0,-0.1,-74.56,635,0,0.1,192,1408,96.52
8,89,2.24,12.43,114.13,2.31,5.04,410.26,0,-0.1,-74.56,814,0,0.1,200,1387,95.37
9,102,2.25,12.47,114.53,2.34,4.99,509.43,0.01,-0.1,-74.56,1037,0,0.1,208,1368,93.97
10,113,2.25,12.77,114.9,2.37,4.94,612.53,0.02,-0.1,-74.56,1267,0,0.1,217,1352,92.52
11,126,2.27,12.95,115.4,2.4,4.9,736.61,0.03,-0.1,-74.55,1544,0,0.1,228,1332,90.81
12,138,2.28,13.14,115.83,2.43,4.85,862.69,0.05,-0.1,-74.55,1828,0,0.1,238,1317,89.09
13,152,2.3,13.25,116.43,2.47,4.81,1011.69,0.07,-0.1,-74.55,2161,0,0.1,251,1297,87.1
14,164,2.32,13.51,116.93,2.5,4.76,1160.92,0.1,-0.1,-74.55,2502,0,0.1,262,1282,85.14
15,178,2.35,13.68,117.62,2.54,4.71,1335.54,0.13,-0.1,-74.54,2907,0,0.1,274,1262,82.89
16,191,2.35,13.94,118.35,2.58,4.67,1508.91,0.17,-0.1,-74.54,3308,0,0.11,286,1243,80.71
17,205,2.36,14.29,118.96,2.62,4.62,1709.73,0.22,-0.1,-74.54,3771,0,0.11,300,1227,78.23
18,219,2.41,14.35,119.77,2.67,4.58,1907.23,0.27,-0.1,-74.53,4238,0,0.11,313,1207,75.86
