Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
3354,1190,0,0,180,1.25,14.65,808442.78,1441.85,3.06,38.58,841649,806375,10.08,1592,1129,0
3358,1190,0,0,180,1.25,14.65,808405.86,1439.86,3.1,38.77,841649,806375,10.08,1592,1129,0
3362,1190,0,0,180,1.25,14.65,808369.26,1437.86,3.15,38.96,841649,806375,10.08,1592,1129,0
3366,1190,0,0,180,1.25,14.65,808332.96,1435.86,3.19,39.15,841649,806375,10.08,1592,1129,0
3370,1190,0,0,180,1.25,14.65,808296.98,1433.86,3.23,39.34,841649,806375,10.08,1592,1129,0
3374,1190,0,0,180,1.25,14.65,808261.31,1431.86,3.28,39.53,841649,806375,10.08,1592,1129,0
3378,1190,0,0,180,1.25,14.65,808225.96,1429.86,3.32,39.72,841649,806375,10.08,1592,1129,0
3382,1190,0,0,180,1.25,14.65,808190.92,1427.86,3.36,39.9,841649,806375,10.08,1592,1129,0
3386,1190,0,0,180,1.25,14.65,808156.19,1425.85,3.41,40.09,841649,806375,10.08,1592,1129,0
3390,1190,0,0,180,1.25,14.65,808121.79,1423.85,3.45,40.28,841649,806375,10.08,1592,1129,0
3394,1190,0,0,180,1.25,14.65,808087.7,1421.85,3.49,40.47,841649,806375,10.08,1593,1129,0
3398,1190,0,0,180,1.25,14.65,808053.93,1419.85,3.53,40.66,841649,806375,10.08,1593,1129,0
3402,1190,0,0,180,1.25,14.65,808020.47,1417.85,3.58,40.85,841649,806375,10.08,1593,1129,0
3406,1190,0,0,180,1.25,14.65,807987.34,1415.84,3.62,41.04,841649,806375,10.08,1593,1129,0
3410,1190,0,0,180,1.25,14.65,807954.52,1413.84,3.66,41.23,841649,806375,10.08,1593,1129,0
3414,1190,0,0,180,1.25,14.65,807922.03,1411.84,3.7,41.42,841649,806375,10.08,1593,1129,0
3418,1190,0,0,180,1.25,14.65,807889.86,1409.83,3.75,41.61,841649,806375,10.08,1593,1129,0
3422,1190,0,0,180,1.25,14.65,807858.01,1407.83,3.79,41.8,841649,806375,10.08,1593,1129,0
3426,1191,0,0,180,1.25,14.65,807826.48,1405.82,3.83,41.99,841649,806375,10.08,1593,1129,0
3430,1191,0,0,180,1.25,14.65,807795.28,1403.82,3.87,42.18,841649,806375,10.08,1593,1129,0
3434,1191,0,0,180,1.25,14.65,807764.4,1401.81,3.91,42.37,841649,806375,10.08,1593,1129,0
3438,1191,0,0,180,1.25,14.65,807733.84,1399.81,3.96,42.56,841649,806375,10.08,1593,1129,0
3442,1191,0,0,180,1.25,14.65,807703.61,1397.8,4,42.75,841649,806375,10.08,1593,1129,0
3446,1191,0,0,180,1.25,14.65,807673.71,1395.79,4.04,42.94,841649,806375,10.08,1593,1129,0
3450,1191,0,0,180,1.25,14.65,807644.13,1393.79,4.08,43.13,841649,806375,10.08,1593,1129,0
3454,1191,0,0,180,1.25,14.65,807614.88,1391.78,4.12,43.32,841649,806375,10.08,1593,1129,0
3458,1191,0,0,180,1.25,14.65,807585.96,1389.77,4.16,43.51,841649,806375,10.08,1593,1129,0
3462,1191,0,0,180,1.25,14.65,807557.36,1387.77,4.2,43.7,841649,806375,10.08,1593,1129,0
3466,1191,0,0,180,1.25,14.65,807529.1,1385.76,4.25,43.89,841649,806375,10.08,1593,1129,0
