Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
20192,1190,0,0,180,1.25,14.65,808526.58,659.53,2.96,113.41,841649,806375,10.08,1592,1129,0,
20592,1192,0,0,180,1.25,14.65,806397.17,463.93,6.87,132.49,841649,806375,10.08,1594,1129,0,
20992,1189,0,0,180,1.25,14.65,807739.96,273.42,9.41,151.92,841649,806375,10.08,1593,1129,0,
21392,1182,0,0,180,1.25,14.65,812278.77,117.7,10.04,171.47,841649,806375,10.08,1588,1129,0,
21826,1171,0,0,180,1.25,14.65,821083.86,219.16,8,-164.29,841649,806375,10.08,1578,1129,0,
22403,1155,0,0,180,1.25,14.65,833214.65,515.37,2.05,-134.47,841649,806375,10.08,1565,1129,0,
23123,1143,0,0,180,1.25,14.65,841442.05,885.75,-6.1,-99.09,841649,806375,10.08,1556,1129,0,
23988,1150,0,0,180,1.25,14.65,835380.94,1327.68,-10.03,-56.18,841649,806375,10.08,1562,1129,0,
24997,1180,0,0,180,1.25,14.65,815661.64,1847.29,-2.8,-5.77,841649,806375,10.08,1584,1129,0,
26149,1190,0,0,180,1.25,14.65,807116.12,1293,8.97,52.43,841649,806375,10.08,1594,1129,0,
27446,1162,0,0,180,1.25,14.65,828244.79,612.63,4.91,117.99,841649,806375,10.08,1570,1129,0,
28886,1143,0,0,180,1.25,14.65,840708.9,137.93,-9.1,-174,841649,806375,10.08,1556,1129,0,
30471,1182,0,0,180,1.25,14.65,814299,908.21,-1.92,-96.92,841649,806375,10.08,1586,1129,0,
32200,1179,0,0,180,1.25,14.65,814848.82,1761.88,9.71,-10.45,841649,806375,10.08,1585,1129,0,
35118,1184,0,0,180,1.25,14.65,812437.59,28.05,-0.59,173.72,841649,806375,10.08,1588,1129,0,
39118,1144,0,0,180,1.25,14.65,840036.44,1775.56,-9.5,0.5,841649,806375,10.08,1557,1129,0,
43118,1164,0,0,180,1.25,14.65,826818.39,152.94,5.62,-170.19,841649,806375,10.08,1572,1129,0,
47118,1192,0,0,180,1.25,14.65,806553.75,1689.92,6.16,13.99,841649,806375,10.08,1594,1129,0,
51118,1156,0,0,180,1.25,14.65,831544.97,267.85,-9.45,-159.73,841649,806375,10.08,1567,1129,0,
55118,1150,0,0,180,1.25,14.65,837379.96,1545.76,-1.03,28.72,841649,806375,10.08,1560,1129,0,
59118,1187,0,0,180,1.25,14.65,809160.89,417.28,9.9,-144.88,841649,806375,10.08,1591,1129,0,
63118,1174,0,0,180,1.25,14.65,819436.83,1423.75,-4.95,40.16,841649,806375,10.08,1580,1129,0,
67118,1143,0,0,180,1.25,14.65,841649.11,537.71,-7.15,-132.65,841649,806375,10.08,1555,1129,0,
71118,1174,0,0,180,1.25,14.65,818945.45,1254.81,8.71,56.16,841649,806375,10.08,1580,1129,0,
75118,1188,0,0,180,1.25,14.65,809444.68,667.44,1.98,-119.93,841649,806375,10.08,1591,1129,0,
79118,1147,0,0,180,1.25,14.65,837703.37,1144.84,-10.04,66.69,841649,806375,10.08,1560,1129,0,
83118,1158,0,0,180,1.25,14.65,831083.89,833.06,3.36,-104.12,841649,806375,10.08,1567,1129,0,
87118,1191,0,0,180,1.25,14.65,806487.88,1001.62,8.01,80.66,841649,806375,10.08,1594,1129,0,
91118,1162,0,0,180,1.25,14.65,827318.76,944.75,-8.28,-93.42,841649,806375,10.08,1571,1129,0,
95118,1146,0,0,180,1.25,14.65,839819.66,856.9,-3.45,94.53,841649,806375,10.08,1557,1129,0,
99118,1183,0,0,180,1.25,14.65,812055.08,1103.22,10.05,-78.07,841649,806375,10.08,1588,1129,0,
103118,1180,0,0,180,1.25,14.65,815290.41,732.34,-2.57,106.43,841649,806375,10.08,1584,1129,0,
107118,1143,0,0,180,1.25,14.65,841160.59,1221.63,-8.67,-66.64,841649,806375,10.08,1556,1129,0,
111118,1168,0,0,180,1.25,14.65,823355.93,566.71,7.14,122.57,841649,806375,10.08,1576,1129,0,
115118,1191,0,0,180,1.25,14.65,807398.49,1361.61,4.44,-53.49,841649,806375,10.08,1593,1129,0,
119118,1152,0,0,180,1.25,14.65,834505.45,463.49,-9.95,132.97,841649,806375,10.08,1563,1129,0,
123118,1153,0,0,180,1.25,14.65,834890.17,1523.02,0.91,-38.2,841649,806375,10.08,1563,1129,0,
127118,1189,0,0,180,1.25,14.65,807570.66,317.2,9.31,147.43,841649,806375,10.08,1593,1129,0,
131118,1169,0,0,180,1.25,14.65,822868.91,1629.99,-6.57,-27.12,841649,806375,10.08,1576,1129,0,
135118,1144,0,0,180,1.25,14.65,841266.87,176.92,-5.66,160.37,841649,806375,10.08,1556,1129,0,
139118,1178,0,0,180,1.25,14.65,815719.74,1757.6,9.54,-11.35,841649,806375,10.08,1584,1129,0,
143118,1185,0,0,180,1.25,14.65,811698.54,37.88,-0.02,172.73,841649,806375,10.08,1588,1129,0,
147118,1145,0,0,180,1.25,14.65,839599.85,1777.59,-9.67,-0.52,841649,806375,10.08,1558,1129,0,
151118,1162,0,0,180,1.25,14.65,827794.89,141.16,5.14,-171.21,841649,806375,10.08,1571,1129,0,
155118,1192,0,0,180,1.25,14.65,806438.57,1697.34,6.61,13.08,841649,806375,10.08,1594,1129,0,
159118,1157,0,0,180,1.25,14.65,830637.2,257.54,-9.24,-160.72,841649,806375,10.08,1568,1129,0,
163118,1149,0,0,180,1.25,14.65,838002.58,1557.01,-1.58,27.63,841649,806375,10.08,1559,1129,0,
167118,1186,0,0,180,1.25,14.65,809727.81,408.71,9.99,-145.75,841649,806375,10.08,1591,1129,0,
171118,1176,0,0,180,1.25,14.65,818478.92,1434.55,-4.44,39.16,841649,806375,10.08,1581,1129,0,
175118,1143,0,0,180,1.25,14.65,841635.7,527.13,-7.53,-133.71,841649,806375,10.08,1555,1129,0,
179118,1172,0,0,180,1.25,14.65,819910.49,1264.83,8.4,55.21,841649,806375,10.08,1579,1129,0,
183118,1189,0,0,180,1.25,14.65,808900.94,657.47,2.55,-120.9,841649,806375,10.08,1592,1129,0,
187118,1148,0,0,180,1.25,14.65,837059.91,1155.09,-10.07,65.7,841649,806375,10.08,1560,1129,0,
191118,1157,0,0,180,1.25,14.65,831980.38,821.89,2.83,-105.18,841649,806375,10.08,1566,1129,0,
195118,1191,0,0,180,1.25,14.65,806630.86,1010.8,8.35,79.77,841649,806375,10.08,1594,1129,0,
199118,1164,0,0,180,1.25,14.65,826337.28,934.53,-7.94,-94.4,841649,806375,10.08,1572,1129,0,
203118,1146,0,0,180,1.25,14.65,840231.81,868.38,-3.96,93.44,841649,806375,10.08,1557,1129,0,
207118,1182,0,0,180,1.25,14.65,812812.64,1094.14,10,-78.96,841649,806375,10.08,1587,1129,0,
211118,1182,0,0,180,1.25,14.65,814433.36,742.64,-2.01,105.44,841649,806375,10.08,1585,1129,0,
215118,1143,0,0,180,1.25,14.65,840903.48,1210.7,-8.94,-67.68,841649,806375,10.08,1556,1129,0,
219118,1167,0,0,180,1.25,14.65,824352.29,576.58,6.73,121.58,841649,806375,10.08,1574,1129,0,
223118,1191,0,0,180,1.25,14.65,807087.12,1351.48,4.96,-54.43,841649,806375,10.08,1594,1129,0,
227118,1153,0,0,180,1.25,14.65,833694.01,473.32,-9.85,131.98,841649,806375,10.08,1564,1129,0,
231118,1152,0,0,180,1.25,14.65,835651.01,1511.71,0.36,-39.29,841649,806375,10.08,1562,1129,0,
235118,1189,0,0,180,1.25,14.65,807962.14,326.48,9.52,146.56,841649,806375,10.08,1593,1129,0,
239118,1170,0,0,180,1.25,14.65,821875.88,1621.13,-6.13,-28.11,841649,806375,10.08,1577,1129,0,
243118,1143,0,0,180,1.25,14.65,841444.12,189.1,-6.11,159.29,841649,806375,10.08,1556,1129,0,
247118,1177,0,0,180,1.25,14.65,816617.05,1752.94,9.34,-12.27,841649,806375,10.08,1583,1129,0,
251118,1186,0,0,180,1.25,14.65,810999.07,48.63,0.56,171.75,841649,806375,10.08,1589,1129,0,
255118,1145,0,0,180,1.25,14.65,839114.35,1778.85,-9.81,-1.54,841649,806375,10.08,1558,1129,0,
259118,1161,0,0,180,1.25,14.65,828758.67,129.21,4.65,-172.25,841649,806375,10.08,1570,1129,0,
263118,1192,0,0,180,1.25,14.65,806380.87,1704.46,7.04,12.17,841649,806375,10.08,1594,1129,0,
267118,1159,0,0,180,1.25,14.65,829707.61,247.14,-9,-161.7,841649,806375,10.08,1569,1129,0,
271118,1148,0,0,180,1.25,14.65,838581.14,1568.15,-2.12,26.53,841649,806375,10.08,1559,1129,0,
275118,1185,0,0,180,1.25,14.65,810341.08,400.08,10.05,-146.62,841649,806375,10.08,1590,1129,0,
279118,1177,0,0,180,1.25,14.65,817538.35,1445.34,-3.92,38.17,841649,806375,10.08,1582,1129,0,
283118,1143,0,0,180,1.25,14.65,841567.21,516.63,-7.89,-134.77,841649,806375,10.08,1556,1129,0,
287118,1171,0,0,180,1.25,14.65,820888.23,1274.99,8.07,54.26,841649,806375,10.08,1578,1129,0,
291118,1190,0,0,180,1.25,14.65,808406.34,647.59,3.1,-121.86,841649,806375,10.08,1592,1129,0,
295118,1149,0,0,180,1.25,14.65,836375.28,1165.32,-10.08,64.7,841649,806375,10.08,1561,1129,0,
299118,1156,0,0,180,1.25,14.65,832851.04,810.64,2.29,-106.25,841649,806375,10.08,1565,1129,0,
303118,1191,0,0,180,1.25,14.65,806830.73,1019.93,8.66,78.88,841649,806375,10.08,1594,1129,0,
307118,1165,0,0,180,1.25,14.65,825347.78,924.28,-7.58,-95.39,841649,806375,10.08,1573,1129,0,
311118,1145,0,0,180,1.25,14.65,840593.46,879.83,-4.47,92.34,841649,806375,10.08,1557,1129,0,
315118,1181,0,0,180,1.25,14.65,813606.01,1085.02,9.91,-79.85,841649,806375,10.08,1586,1129,0,
319118,1183,0,0,180,1.25,14.65,813606.65,752.95,-1.45,104.45,841649,806375,10.08,1586,1129,0,
323118,1143,0,0,180,1.25,14.65,840593.83,1199.86,-9.19,-68.71,841649,806375,10.08,1557,1129,0,
327118,1166,0,0,180,1.25,14.65,825346.92,586.58,6.3,120.58,841649,806375,10.08,1573,1129,0,
