Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
654,1869,0,5.52,180,0.98,18.65,199737.43,17.14,-0.1,177.99,200813,199188,0.1,2102,1895,0
655,1869,0,5.52,180,0.98,18.65,199736.14,18.04,-0.1,178.07,200813,199188,0.1,2102,1895,0
656,1869,0,5.52,180,0.98,18.65,199734.13,19.44,-0.1,178.21,200813,199188,0.1,2102,1895,0
657,1869,0,5.52,180,0.98,18.65,199732.16,20.81,-0.1,178.34,200813,199188,0.1,2102,1895,0
658,1869,0,5.52,180,0.98,18.65,199730.15,22.22,-0.1,178.47,200813,199188,0.1,2102,1895,0
659,1869,0,5.53,180,0.98,18.65,199728.15,23.62,-0.1,178.61,200811,199185,0.1,2102,1895,0
660,1869,0,5.52,180,0.98,18.65,199726.63,25.02,-0.1,178.74,200806,199175,0.1,2102,1895,0
661,1869,0,5.52,180,0.98,18.65,199725.14,26.42,-0.1,178.87,200806,199175,0.1,2102,1895,0
662,1869,0,5.52,180,0.98,18.65,199723.58,27.82,-0.1,179.01,200806,199175,0.1,2102,1895,0
663,1869,0,5.52,180,0.98,18.65,199721.92,29.23,-0.1,179.14,200806,199175,0.1,2102,1895,0
664,1869,0,5.52,180,0.98,18.65,199720.12,30.63,-0.1,179.27,200806,199175,0.1,2102,1895,0
665,1869,0,5.52,180,0.98,18.65,199718.18,32.03,-0.1,179.41,200806,199175,0.1,2102,1895,0
666,1869,0,5.52,180,0.98,18.65,199716.08,33.43,-0.1,179.54,200806,199175,0.1,2102,1895,0
667,1869,0,5.52,180,0.98,18.65,199713.83,34.83,-0.1,179.68,200806,199175,0.1,2102,1895,0
668,1869,0,5.52,180,0.98,18.65,199711.45,36.23,-0.1,179.81,200806,199175,0.1,2102,1895,0
669,1869,0,5.52,180,0.98,18.65,199708.97,37.64,-0.1,179.94,200806,199175,0.1,2102,1895,0
670,1869,0,5.52,180,0.98,18.65,199706.42,39.04,-0.1,-179.92,200806,199175,0.1,2102,1895,0
671,1869,0,5.52,180,0.98,18.65,199703.86,40.44,-0.1,-179.79,200806,199175,0.1,2102,1895,0
672,1869,0,5.52,180,0.98,18.65,199701.31,41.84,-0.1,-179.65,200806,199175,0.1,2102,1895,0
673,1869,0,5.52,180,0.98,18.65,199698.84,43.24,-0.1,-179.52,200806,199175,0.1,2102,1895,0
674,1869,0,5.52,180,0.98,18.65,199696.46,44.65,-0.1,-179.39,200806,199175,0.1,2102,1895,0
675,1869,0,5.52,180,0.98,18.65,199694.27,46.05,-0.1,-179.25,200826,199186,0.1,2102,1896,0
