Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
663,1869,0,5.52,180,0.98,18.65,199718.69,30.24,-0.1,179.24,200813,199188,0.1,2102,1895,0
664,1869,0,5.52,180,0.98,18.65,199718.09,30.66,-0.1,179.28,200813,199188,0.1,2102,1895,0
665,1869,0,5.52,180,0.98,18.65,199716.1,32.06,-0.1,179.41,200813,199188,0.1,2102,1895,0
666,1869,0,5.52,180,0.98,18.65,199714.1,33.46,-0.1,179.55,200813,199188,0.1,2102,1895,0
667,1869,0,5.52,180,0.98,18.65,199712.15,34.83,-0.1,179.68,200813,199188,0.1,2102,1895,0
668,1869,0,5.52,180,0.98,18.65,199710.16,36.24,-0.1,179.81,200813,199188,0.1,2102,1895,0
669,1869,0,5.52,180,0.98,18.65,199708.17,37.64,-0.1,179.94,200813,199188,0.1,2102,1895,0
670,1869,0,5.52,180,0.98,18.65,199706.19,39.04,-0.1,-179.92,200813,199188,0.1,2102,1895,0
671,1869,0,5.52,180,0.98,18.65,199704.2,40.44,-0.1,-179.79,200813,199188,0.1,2102,1895,0
672,1869,0,5.52,180,0.98,18.65,199702.22,41.84,-0.1,-179.65,200813,199188,0.1,2102,1895,0
673,1869,0,5.52,180,0.98,18.65,199700.24,43.25,-0.1,-179.52,200813,199188,0.1,2102,1895,0
674,1869,0,5.52,180,0.98,18.65,199698.26,44.65,-0.1,-179.39,200813,199188,0.1,2102,1895,0
675,1869,0,5.52,180,0.98,18.65,199696.29,46.05,-0.1,-179.25,200813,199188,0.1,2102,1895,0
676,1869,0,5.52,180,0.98,18.65,199694.31,47.45,-0.1,-179.12,200813,199188,0.1,2102,1895,0
677,1869,0,5.52,180,0.98,18.65,199692.34,48.85,-0.1,-178.98,200813,199188,0.1,2102,1895,0
678,1869,0,5.52,180,0.98,18.65,199690.37,50.26,-0.1,-178.85,200813,199188,0.1,2102,1895,0
679,1869,0,5.52,180,0.98,18.65,199688.41,51.66,-0.1,-178.72,200813,199188,0.1,2102,1895,0
680,1869,0,5.52,180,0.98,18.65,199686.44,53.06,-0.1,-178.58,200813,199188,0.1,2102,1895,0
681,1869,0,5.52,180,0.98,18.65,199684.48,54.46,-0.1,-178.45,200813,199188,0.1,2102,1895,0
682,1869,0,5.52,180,0.98,18.65,199682.52,55.87,-0.1,-178.32,200813,199188,0.1,2102,1895,0
