Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1961,1866,0,0,180,0.98,18.65,200465.47,1850.1,0.09,-6.98,200808,199185,0.1,2100,1895,0
1962,1866,0,0,180,0.98,18.65,200467.2,1851.5,0.09,-6.84,200808,199185,0.1,2100,1895,0
1963,1866,0,0,180,0.98,18.65,200468.93,1852.9,0.09,-6.71,200808,199185,0.1,2100,1895,0
1964,1866,0,0,180,0.98,18.65,200470.65,1854.3,0.09,-6.58,200808,199185,0.1,2100,1895,0
1965,1866,0,0,180,0.98,18.65,200472.37,1855.7,0.09,-6.44,200808,199185,0.1,2100,1895,0
1966,1866,0,0,180,0.98,18.65,200474.09,1857.1,0.09,-6.31,200808,199185,0.1,2100,1895,0
1967,1866,0,0,180,0.98,18.65,200475.81,1858.5,0.09,-6.18,200808,199185,0.1,2100,1895,0
1968,1866,0,0,180,0.98,18.65,200477.52,1859.9,0.09,-6.04,200808,199185,0.1,2100,1895,0
1969,1866,0,0,180,0.98,18.65,200479.22,1861.29,0.09,-5.91,200808,199185,0.1,2100,1895,0
1970,1866,0,0,180,0.98,18.65,200480.93,1862.69,0.09,-5.78,200808,199185,0.1,2100,1895,0
1971,1866,0,0,180,0.98,18.65,200482.63,1864.09,0.09,-5.64,200808,199185,0.1,2100,1895,0
1972,1866,0,0,180,0.98,18.65,200484.33,1865.49,0.09,-5.51,200808,199185,0.1,2100,1895,0
1973,1866,0,0,180,0.98,18.65,200486.02,1866.89,0.09,-5.38,200808,199185,0.1,2100,1895,0
1974,1866,0,0,180,0.98,18.65,200487.71,1868.29,0.09,-5.24,200808,199185,0.1,2100,1895,0
1975,1866,0,0,180,0.98,18.65,200489.4,1869.69,0.09,-5.11,200808,199185,0.1,2100,1895,0
1976,1866,0,0,180,0.98,18.65,200491.08,1871.09,0.09,-4.97,200808,199185,0.1,2100,1895,0
1977,1866,0,0,180,0.98,18.65,200492.77,1872.49,0.09,-4.84,200808,199185,0.1,2100,1895,0
1978,1866,0,0,180,0.98,18.65,200494.44,1873.88,0.09,-4.71,200808,199185,0.1,2100,1895,0
1979,1866,0,0,180,0.98,18.65,200496.12,1875.28,0.09,-4.57,200808,199185,0.1,2100,1895,0
1980,1866,0,0,180,0.98,18.65,200497.79,1876.68,0.09,-4.44,200808,199185,0.1,2100,1895,0
1981,1866,0,0,180,0.98,18.65,200499.45,1878.08,0.09,-4.31,200808,199185,0.1,2100,1895,0
1982,1866,0,0,180,0.98,18.65,200501.12,1879.48,0.09,-4.17,200808,199185,0.1,2100,1895,0
1983,1866,0,0,180,0.98,18.65,200502.78,1880.88,0.09,-4.04,200808,199185,0.1,2100,1895,0
1984,1866,0,0,180,0.98,18.65,200504.43,1882.28,0.09,-3.91,200808,199185,0.1,2100,1895,0
1985,1866,0,0,180,0.98,18.65,200506.09,1883.67,0.09,-3.77,200808,199185,0.1,2100,1895,0
1986,1866,0,0,180,0.98,18.65,200507.74,1884.78,0.09,-3.64,200808,199185,0.1,2100,1895,0
1987,1866,0,0,180,0.98,18.65,200509.38,1883.43,0.09,-3.5,200808,199185,0.1,2100,1895,0
1988,1866,0,0,180,0.98,18.65,200511.02,1882.03,0.09,-3.37,200808,199185,0.1,2100,1895,0
1989,1866,0,0,180,0.98,18.65,200512.66,1880.64,0.09,-3.24,200808,199185,0.1,2100,1895,0
