Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,6,2.08,11.9,109.47,2.08,5.36,79.66,0,-0.1,-74.56,79,0,0.1,175,1523,100.17
2,17,2.1,12.08,109.5,2.1,5.31,90.83,0,-0.1,-74.56,103,0,0.1,176,1506,100.01
3,28,2.11,12.26,109.59,2.12,5.27,114.2,0,-0.1,-74.56,152,0,0.1,177,1485,99.67
4,39,2.13,12.42,109.72,2.14,5.22,146.33,0,-0.1,-74.56,221,0,0.1,179,1465,99.19
5,50,2.14,12.58,109.87,2.16,5.18,192.73,0,-0.1,-74.56,320,0,0.1,182,1448,98.51
6,61,2.16,12.72,110.09,2.18,5.14,246.38,0,-0.1,-74.56,436,0,0.1,185,1428,97.73
7,73,2.17,12.86,110.36,2.21,5.09,316.39,0,-0.1,-74.56,589,0,0.1,189,1409,96.72
8,84,2.17,12.94,110.62,2.23,5.05,392.05,0,-0.1,-74.56,754,0,0.1,195,1393,95.63
9,96,2.18,13.15,110.98,2.26,5,486.04,0,-0.1,-74.56,960,0,0.1,202,1375,94.3
10,107,2.19,13.73,111.39,2.29,4.96,583.84,0,-0.1,-74.56,1173,0,0.1,210,1356,92.92
11,119,2.2,13.65,111.76,2.32,4.91,701.56,0.01,-0.1,-74.56,1426,0,0.1,221,1341,91.29
12,131,2.21,14.02,112.25,2.35,4.87,820.93,0.03,-0.1,-74.56,1685,0,0.1,230,1322,89.66
13,143,2.22,14.09,112.79,2.38,4.82,961.81,0.05,-0.1,-74.55,1986,0,0.1,243,1303,87.76
14,154,2.24,14.17,113.26,2.41,4.78,1102.33,0.07,-0.1,-74.55,2282,0,0.1,255,1289,85.9
15,167,2.25,14.58,113.86,2.45,4.73,1265.84,0.1,-0.1,-74.55,2637,0,0.1,267,1270,83.78
16,179,2.26,14.77,114.52,2.49,4.69,1427.43,0.14,-0.1,-74.54,2984,0,0.11,280,1251,81.73
17,192,2.29,14.94,115.07,2.52,4.64,1614.05,0.19,-0.1,-74.54,3391,0,0.11,294,1236,79.4
18,205,2.3,15.25,115.79,2.56,4.6,1797.17,0.25,-0.1,-74.53,3790,0,0.11,307,1217,77.17
19,219,2.33,15.52,116.54,2.61,4.56,2007.5,0.31,-0.1,-74.53,4262,0,0.12,321,1198,74.68
20,232,2.36,15.04,117.17,2.64,4.51,2213.03,0.38,-0.1,-74.52,4730,0,0.12,334,1182,72.3
21,247,2.37,15.91,117.97,2.69,4.47,2448.43,0.47,-0.1,-74.51,5273,0,0.12,348,1162,69.66
22,261,2.38,15.6,118.82,2.74,4.42,2677.7,0.55,-0.1,-74.51,5809,0,0.13,361,1142,67.16
23,276,2.39,15.68,119.51,2.78,4.38,2939.21,0.64,-0.1,-74.5,6426,0,0.13,375,1125,64.4
